year,topic,year_next,d_lang,topic_desc,topic_description,n_papers,d_field,d_nearest_neighbor
2016,20,2017,0.9715433023064626,B.01,B.01 Neurotransmitters and Signaling Molecules,81,0.9783689248196707,0.9784802340371545
2013,21,2014,0.9469343057999241,A.06,A.06 Synaptogenesis and Activity-Dependent Development,96,0.9782020759358092,0.9784793087274584
2014,21,2015,0.9528427172581911,A.06,A.06 Synaptogenesis and Activity-Dependent Development,96,0.968570794135624,0.977552350593168
2015,21,2016,0.9446919047628053,A.06,A.06 Synaptogenesis and Activity-Dependent Development,96,0.9651377267639144,0.9789675729503934
2016,21,2017,0.949667412394476,A.06,A.06 Synaptogenesis and Activity-Dependent Development,96,0.9760552694906692,0.9774509412199508
2013,23,2014,0.9643525710598958,B.04,B.04 Ion Channels,131,0.954657078197284,0.976460308934157
2014,23,2015,0.9590943917681529,B.04,B.04 Ion Channels,131,0.9722455925622628,0.975089521265906
2015,23,2016,0.9568324311879297,B.04,B.04 Ion Channels,131,0.9789675729503934,0.9800323116164448
2016,23,2017,0.9561661564493151,B.04,B.04 Ion Channels,131,0.9793781610427148,0.97973509986658
2013,24,2014,0.9372277736839546,B.09,B.09 Physiological Properties of Neurons,87,0.9771821927432996,0.9784557928778156
2014,24,2015,0.9429719961382504,B.09,B.09 Physiological Properties of Neurons,87,0.9765445667331702,0.97848278844125
2015,24,2016,0.936048314837767,B.09,B.09 Physiological Properties of Neurons,87,0.9676579346079937,0.9790758059292988
2016,24,2017,0.9453756192148722,B.09,B.09 Physiological Properties of Neurons,87,0.9651859219571908,0.9808306493835336
2013,25,2014,0.9211784536913415,B.05,B.05 Transporters,49,0.9632578998035868,0.9755831337132922
2014,25,2015,0.9273097361706597,B.05,B.05 Transporters,49,0.9700376486475496,0.9756267393123996
2015,25,2016,0.9186141508038679,B.05,B.05 Transporters,49,0.959304685815606,0.9779679042113348
2016,25,2017,0.9182807989040875,B.05,B.05 Transporters,49,0.9571551790527733,0.9789644883258676
2013,26,2014,0.9335884029022645,F.10,F.10 Food Intake and Energy Balance,101,0.9643048487727276,0.9734810167073844
2014,26,2015,0.9310029690248917,F.10,F.10 Food Intake and Energy Balance,101,0.97712182211967,0.9774587614129272
2015,26,2016,0.9225939503374525,F.10,F.10 Food Intake and Energy Balance,101,0.9779640944093738,0.9791116604070764
2016,26,2017,0.9401634831839221,F.10,F.10 Food Intake and Energy Balance,101,0.972275897838674,0.9768775870670074
2013,27,2014,0.9555961107623913,A.07,A.07 Developmental Disorders,382,0.976942253203762,0.9776854923374246
2014,27,2015,0.9559027071194435,A.07,A.07 Developmental Disorders,382,0.9733082979414874,0.9762513830194272
2015,27,2016,0.9509611312576203,A.07,A.07 Developmental Disorders,382,0.977594804765628,0.9776101789969172
2016,27,2017,0.9542962378454882,A.07,A.07 Developmental Disorders,382,0.97811139209544,0.980469141251973
2013,28,2014,0.9491619275769789,H.03,H.03 Schizophrenia,140,0.9791368339526452,0.9793214362996036
2014,28,2015,0.94817164835128,H.03,H.03 Schizophrenia,140,0.977990685903808,0.9781006947360846
2015,28,2016,0.941110721633844,H.03,H.03 Schizophrenia,140,0.9775089714073092,0.978054165455792
2016,28,2017,0.9394236225812734,H.03,H.03 Schizophrenia,140,0.9760726250925228,0.9790687848880152
2013,29,2014,0.9408110491790155,F.02,F.02 Behavioral Neuroendocrinology,139,0.975727319528796,0.9771093888459084
2014,29,2015,0.9376828704422556,F.02,F.02 Behavioral Neuroendocrinology,139,0.9758427889949416,0.9762330526305398
2015,29,2016,0.9404644042334708,F.02,F.02 Behavioral Neuroendocrinology,139,0.9722291509119926,0.9770247756973004
