year,topic,d_lang,d_nearest_neighbor
2013,2,0.9722722252401929,0.9723527009114545
2013,3,0.9658303792263742,0.9661864764322786
2013,4,0.9689214331959461,0.9730051245336954
2013,6,0.9123118770232541,0.9409610634725815
2013,7,0.9042544359633262,0.9409610634725815
2013,8,0.8978989069013344,0.9247596961420429
2013,9,0.9234743695188299,0.9247596961420429
2013,10,0.9010185015941677,0.9476232668458227
2013,13,0.8623793224331958,0.9752992710258799
2013,14,0.9081513174190813,0.9653091499319656
2013,17,0.9112724166512359,0.9771341986942914
2013,18,0.9492636738693812,0.9678918093266641
2013,19,0.9675955786194472,0.9736087261435834
2013,20,0.9678918093266641,0.9711250720089454
2013,21,0.9314705832998444,0.9652612503498906
2013,23,0.9464520243283951,0.9673185422442434
2013,24,0.923757017760795,0.9588831433475059
2013,25,0.8925822034311924,0.9750212888325451
2013,26,0.930609279510954,0.9556834596981991
2013,27,0.9549170292314969,0.9752233914200253
2013,28,0.9414270069375786,0.9715445863932495
2013,29,0.9320046392004622,0.9687840271003921
2013,30,0.9498258353761799,0.9699419863818731
2013,31,0.9358812841347307,0.948531916355501
2013,32,0.917611742060656,0.948531916355501
2013,37,0.949938173061327,0.9666398675527783
2013,40,0.9328656015581984,0.9666398675527783
2013,42,0.9316971644666681,0.9761017649680278
2013,43,0.9154675632140572,0.9586798493153488
2013,44,0.9002526761268489,0.969225948407314
2013,46,0.9294273733736528,0.9645992006847446
2013,49,0.8909084482704926,0.9580658220739511
2013,50,0.9580658220739511,0.9653617105867298
2013,51,0.9022265761831127,0.9653617105867298
2013,52,0.9077475472959138,0.9645992006847446
2013,68,0.9019264532811606,0.9731957981036129
2013,82,0.9580425230442344,0.9770319885564127
2013,83,0.9360539341357339,0.9699908253294685
2013,84,0.9433539636795711,0.969225948407314
2013,92,0.9225815295402297,0.9476635713476553
2013,94,0.9287500787305721,0.9665163374908036
2013,95,0.9198180458457429,0.9622650451614309
2013,96,0.9549042838440778,0.9635427541146804
2013,97,0.9272569031010238,0.9626691365648549
2013,98,0.9469442014378504,0.9693818691792029
2013,99,0.9716225889468925,0.9716908049025992
2013,100,0.8532890651906426,0.9585138504905464
2013,101,0.9379583844793717,0.9529797506713319
2013,102,0.9078714531707126,0.9617519204949099
2013,103,0.894116115775721,0.9575744389796788
2013,104,0.831038088643429,0.9180087291304362
2013,105,0.91397923955884,0.9180087291304362
2013,106,0.9364840402683428,0.9378453521330702
2013,107,0.899505012421348,0.9437135843421
2013,108,0.9305231355008413,0.9527024401210358
2013,109,0.940329260263031,0.9594999950597272
2013,110,0.9201965306164882,0.9671909395976662
2013,111,0.8894798050504744,0.9590453926295696
2013,113,0.8815710510769604,0.9655674734060626
2013,114,0.8943154286433278,0.9802422987255973
2013,115,0.8457027056970106,0.9556834596981991
2014,2,0.9549735549470882,0.9653078212129091
2014,3,0.96065351767065,0.9618931712238679
2014,4,0.9549013739029426,0.9714094486620762
2014,6,0.9368185069411443,0.9375335043758481
2014,7,0.8693443490636474,0.9375335043758481
